payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price,total_price
P010,C006397,T020301,I00181,S00460,8,ct,26,208
P005,C001432,T026282,I00140,S00177,4,ct,29,116
P025,C000360,T03072,I00020,S00367,9,cans,6.75,60.75
P002,C002796,T068914,I00166,S00624,6,bags,17,102
P032,C005519,T050958,I00167,S00549,3,ct,14,42
P004,C003460,T025941,I00098,S0034,4,oz,10,40
P006,C005672,T044432,I00122,S00248,6,ct,15,90
P034,C007281,T083858,I00257,S00451,4,ct,21,84
P038,C008944,T07376,I00028,S00505,4,cans,6.75,27
P032,C007426,T045335,I00144,S00670,3,ct,20,60
P024,C004033,T068656,I00055,S00515,10,cans,40,400
P025,C007308,T065074,I00257,S00362,4,ct,21,84
P005,C008308,T027450,I00044,S00214,11,cans,8,88
P009,C000369,T038151,I00094,S00148,6,bottles,11,66
P033,C002064,T010382,I00255,S00540,6,pack,20,120
P010,C007492,T037984,I00034,S00680,9,cans,16,144
P008,C000758,T027289,I00233,S0002,8,ct,12,96
P021,C004895,T071088,I00009,S00501,7,cans,16.25,113.75
P031,C006846,T00278,I00235,S00479,9,ct,14,126
P039,C007703,T028363,I00252,S00169,6,ct,11,66
P013,C007584,T043743,I00041,S00283,8,bottles,23,184
P038,C001545,T038381,I00058,S0055,6,bottles,22,132
P037,C006072,T085298,I00136,S00276,5,ct,19.5,97.5
P017,C007037,T026396,I00110,S00221,8,oz,22.5,180
P013,C005164,T082585,I00036,S0010,10,cans,16,160
P013,C001344,T051293,I00073,S00630,9,bottles,20,180
P034,C004922,T064798,I00167,S00111,3,ct,14,42
P037,C001275,T032532,I00189,S00601,2,ct.,13,26
P015,C003776,T082823,I00215,S00289,4,ct.,14,56
P012,C000793,T061423,I00063,S00215,6,cans,40,240
P038,C007650,T036396,I00186,S0090,1,ct,13,13
P030,C001380,T022770,I00167,S00336,4,ct,14,56
P036,C007918,T089048,I00126,S00646,10,ct,25,250
P009,C007540,T067515,I00156,S00259,7,bags,17,119
P025,C002403,T035707,I00128,S0059,11,pk,16,176
P009,C008334,T03819,I00255,S00721,4,pack,20,80
P032,C002273,T084158,I00187,S00405,10,ct.,13,130
P035,C003291,T079034,I00076,S0074,5,cans,6.75,33.75
P034,C008759,T022074,I00122,S00509,5,ct,15,75
P024,C007688,T028134,I00183,S00194,11,ct,35,385
P039,C001301,T033815,I00165,S00251,2,bags,16,32
P009,C004865,T044907,I00113,S00353,8,ct,42,336
P016,C000956,T072906,I00213,S00139,2,ct,12,24
P021,C003334,T02647,I00195,S00338,7,ct,12.5,87.5
P026,C007896,T077414,I00061,S00617,7,cans,55,385
P015,C007055,T015735,I00049,S00218,4,cans,8,32
P031,C001641,T010429,I00053,S00167,8,cans,40,320
P003,C004228,T054067,I00179,S00265,4,ct,19,76
P020,C003178,T079891,I00088,S00380,3,bottles,17,51
P033,C000730,T02743,I00045,S00102,5,cans,8,40
P010,C008065,T039330,I00055,S00324,3,cans,40,120
P033,C004292,T020735,I00121,S00694,10,ct,17,170
P003,C008389,T069983,I00068,S00555,3,bottles,20,60
P034,C004994,T077509,I00153,S00238,5,bags,15,75
P033,C004062,T051773,I00089,S0084,10,bottles,9,90
P031,C008732,T072207,I00071,S00659,4,bottles,17.5,70
P033,C004010,T015895,I00194,S00649,10,bars,23,230
P025,C003404,T087793,I00247,S0015,2,oz,15,30
P027,C008558,T024637,I00179,S00559,3,ct,19,57
P033,C004462,T07750,I00014,S0063,1,cans,6.75,6.75
P016,C003760,T037494,I00113,S00126,9,ct,42,378
P016,C002286,T038418,I00197,S00295,5,bars,15,75
P036,C007463,T00022,I00230,S00296,9,pk,15,135
P017,C005848,T087749,I00198,S00399,5,ct,12,60
P021,C003816,T049774,I00067,S00423,8,bottles,8,64
P035,C005041,T040305,I00231,S00256,10,pk,16,160
P011,C005839,T085441,I00241,S00197,7,ct,12,84
P010,C007131,T084462,I00025,S00592,11,cans,11.5,126.5
P023,C003607,T066510,I00033,S00325,10,cans,16,160
P039,C004715,T016438,I00138,S0066,8,ct,32,256
P001,C005378,T090427,I00159,S00143,7,bags,17,119
P013,C003119,T023962,I00116,S00373,8,ct,48,384
P024,C009156,T033041,I00184,S00275,6,ct,12,72
P027,C005784,T056628,I00244,S00269,8,oz,18,144
P030,C004410,T051656,I00201,S00663,6,bars,23,138
P003,C007610,T078656,I00115,S00485,10,ct,53,530
P014,C002237,T010822,I00078,S00336,10,bottles,17,170
P021,C009152,T097386,I00253,S00298,5,bags,21,105
P028,C007931,T010481,I00225,S00384,10,ct,17,170
P029,C007309,T059228,I00145,S00123,1,ct,17,17
P013,C003306,T064295,I00079,S00330,7,bottles,17,119
P023,C000036,T049297,I00071,S00127,5,bottles,17.5,87.5
P023,C008766,T03464,I00050,S00548,11,cans,8,88
P026,C008798,T060606,I00127,S00465,8,pk,12.5,100
P004,C006415,T057106,I00046,S0037,6,cans,8,48
P035,C007020,T052720,I00160,S00569,4,bags,17,68
P017,C002621,T045675,I00146,S00705,3,ct,21,63
P038,C004197,T073428,I00188,S00312,7,ct,14,98
P034,C006096,T058615,I00196,S00103,4,ct,16,64
P020,C004580,T076089,I00219,S00469,5,ct,22,110
P010,C007301,T019203,I00246,S00314,6,ct,20,120
P003,C006052,T045970,I00146,S0003,3,ct,21,63
P027,C003931,T017404,I00120,S00317,4,ct,9,36
P006,C008489,T051421,I00251,S00651,6,oz,13,78
P009,C002433,T040412,I00185,S00617,3,ct,14,42
P005,C006369,T010129,I00092,S00300,1,bottles,10,10
P011,C007357,T010911,I00048,S0092,8,cans,8,64
P006,C006321,T078894,I00232,S00221,4,ct,12,48
P034,C000104,T093684,I00166,S00205,11,bags,17,187
P024,C003452,T061273,I00255,S0091,6,pack,20,120
P022,C007030,T096751,I00005,S00599,5,cans,6.75,33.75
P031,C008553,T021130,I00180,S00654,6,ct,19,114
P011,C009164,T065710,I00059,S00498,11,bottles,22,242
P035,C002790,T076789,I00030,S00485,9,cans,16,144
P036,C000679,T047699,I00247,S00586,1,oz,15,15
P007,C003455,T078842,I00038,S0037,1,bottles,23,23
P026,C000196,T070229,I00023,S00368,9,cans,6.75,60.75
P012,C007134,T092666,I00261,S00402,3,ct,33,99
P008,C000005,T016851,I00105,S00360,6,ct,16.5,99
P038,C007681,T064686,I00187,S00245,5,ct.,13,65
P001,C004646,T023553,I00162,S00180,1,Bags,16,16
P024,C003506,T093723,I00003,S00122,10,cans,6.75,67.5
P016,C003635,T018877,I00230,S00494,1,pk,15,15
P022,C004565,T055051,I00124,S00393,1,ct,15,15
P027,C000111,T076327,I00242,S00162,2,pk,12,24
P022,C005112,T00836,I00236,S00633,3,tins,12,36
P007,C004541,T039796,I00048,S00719,7,cans,8,56
P006,C001890,T016001,I00258,S00716,6,pk,21,126
P007,C008249,T092806,I00123,S00551,9,ct,45,405
P013,C007549,T093438,I00225,S00593,5,ct,17,85
P028,C005685,T05277,I00138,S00247,5,ct,32,160
P002,C001656,T085875,I00003,S00695,5,cans,6.75,33.75
P028,C003956,T014090,I00230,S00610,6,pk,15,90
P035,C003913,T070720,I00225,S00146,7,ct,17,119
P015,C000236,T08358,I00239,S00374,6,pk,14,84
P026,C001625,T083023,I00189,S00677,5,ct.,13,65
P017,C008610,T095386,I00189,S00373,2,ct.,13,26
P028,C001357,T036196,I00097,S00412,3,cartons,19,57
P012,C001865,T070372,I00122,S00362,8,ct,15,120
P025,C002961,T09001,I00033,S00106,1,cans,16,16
P011,C003323,T083040,I00053,S0017,4,cans,40,160
P012,C008344,T050991,I00014,S00137,4,cans,6.75,27
P002,C001377,T058240,I00172,S00462,9,oz,19,171
P020,C005023,T015790,I00180,S00688,9,ct,19,171
P005,C003555,T018787,I00164,S00279,3,ct,16,48
P033,C006578,T094169,I00141,S00512,7,ct,18,126
P014,C002672,T033654,I00024,S00371,5,cans,16.25,81.25
P020,C006701,T078795,I00193,S00493,10,ct,18,180
P024,C005152,T098111,I00063,S00709,5,cans,40,200
P018,C001720,T055754,I00226,S0085,4,lb,15,60
P037,C006757,T041781,I00102,S00392,10,tubs,16,160
P013,C004274,T073065,I00068,S00309,1,bottles,20,20
P030,C000869,T024299,I00103,S00634,7,tubs,15,105
P015,C007319,T011112,I00013,S00272,11,cans,6.75,74.25
P025,C008171,T080676,I00114,S00592,3,ct,44,132
P001,C001278,T063772,I00108,S00128,11,oz,15,165
P010,C007272,T031469,I00142,S00344,9,ct,12.5,112.5
P031,C000821,T033931,I00104,S0017,5,ct,14,70
P023,C001332,T05979,I00183,S00431,10,ct,35,350
P026,C003410,T044675,I00120,S00188,4,ct,9,36
P012,C005453,T090694,I00141,S00546,4,ct,18,72
P035,C004840,T071290,I00113,S0075,7,ct,42,294
P036,C000308,T019349,I00015,S00532,11,cans,6.75,74.25
P021,C006171,T038745,I00024,S00351,2,cans,16.25,32.5
P004,C000624,T013797,I00225,S00184,6,ct,17,102
P018,C001232,T027823,I00030,S00291,2,cans,16,32
P039,C006164,T089465,I00245,S00121,5,rolls,26,130
P017,C007612,T062563,I00247,S00708,3,oz,15,45
P008,C008768,T042661,I00102,S00243,7,tubs,16,112
P001,C006811,T059551,I00062,S00230,4,cans,37,148
P012,C003139,T057738,I00164,S00343,8,ct,16,128
P018,C007079,T091659,I00169,S00582,11,ct,17,187
P009,C004632,T046946,I00124,S00684,11,ct,15,165
P015,C007752,T05232,I00259,S00324,4,pack,26,104
P015,C001501,T074523,I00226,S00109,5,lb,15,75
P007,C000339,T089384,I00089,S00611,10,bottles,9,90
P007,C005675,T080151,I00202,S00223,4,ct.,12,48
P037,C005584,T068963,I00049,S00412,7,cans,8,56
P025,C007097,T034021,I00052,S00703,11,cans,40,440
P023,C001350,T050819,I00144,S00275,10,ct,20,200
P037,C008892,T056778,I00029,S00401,1,cans,11.5,11.5
P015,C003035,T089712,I00085,S00670,7,bottles,18,126
P016,C005881,T060602,I00172,S00683,11,oz,19,209
P033,C006570,T060616,I00164,S00381,6,ct,16,96
P001,C003225,T037570,I00253,S00579,11,bags,21,231
P025,C008021,T070924,I00219,S00153,8,ct,22,176
P023,C006300,T057235,I00163,S00381,1,bags,15,15
P029,C001717,T035860,I00058,S00389,1,bottles,22,22
P010,C000909,T05183,I00224,S00441,6,oz,11,66
P038,C003203,T014409,I00223,S00506,8,ct,13.5,108
P014,C002318,T093603,I00140,S00658,11,ct,29,319
P039,C000423,T099897,I00005,S00431,2,cans,6.75,13.5
P006,C001844,T043263,I00086,S0050,8,cans,18,144
P024,C008487,T028596,I00250,S00324,5,pack,19.5,97.5
P033,C007961,T099969,I00247,S00319,8,oz,15,120
P021,C005519,T044024,I00056,S00174,11,bottles,24,264
P029,C004087,T04694,I00227,S00249,11,pk,15,165
P005,C007815,T063974,I00134,S00243,8,ct,16,128
P008,C000165,T059210,I00199,S00609,7,ct,15,105
P015,C002138,T077435,I00218,S00627,7,ct,6,42
P008,C007964,T092124,I00151,S00186,9,bags,17,153
P031,C005652,T014293,I00092,S00226,9,bottles,10,90
P034,C007805,T015970,I00053,S00441,2,cans,40,80
P017,C008188,T023572,I00050,S00182,9,cans,8,72
P027,C004819,T083826,I00211,S00491,6,ct.,15,90
P005,C008266,T042534,I00144,S00240,3,ct,20,60
P014,C000181,T083454,I00060,S00149,5,bottles,22,110
P008,C005720,T038678,I00110,S00360,6,oz,22.5,135
P002,C006639,T053791,I00100,S00726,6,oz.,10,60
P005,C002044,T016705,I00136,S00391,11,ct,19.5,214.5
P013,C007497,T039613,I00206,S00139,1,ct,15,15
P004,C005866,T076443,I00098,S00212,11,oz,10,110
P006,C006396,T066666,I00226,S00282,11,lb,15,165
P017,C006382,T079292,I00203,S00595,8,ct,18,144
P002,C005939,T045801,I00255,S00117,5,pack,20,100
P022,C002336,T074754,I00092,S00316,1,bottles,10,10
P008,C000545,T044786,I00224,S00351,7,oz,11,77
P021,C000540,T064584,I00021,S00194,5,cans,6.75,33.75
P013,C004909,T046743,I00077,S00645,8,cans,6.75,54
P017,C002137,T050144,I00212,S00411,11,ct,12,132
P024,C003582,T026723,I00146,S00388,7,ct,21,147
P019,C004005,T073073,I00055,S00164,8,cans,40,320
P031,C003254,T054713,I00151,S00563,8,bags,17,136
P006,C000176,T063831,I00114,S00598,2,ct,44,88
P004,C009190,T022409,I00067,S00440,5,bottles,8,40
P028,C004741,T060534,I00149,S00152,9,ct,15,135
P029,C001457,T030681,I00023,S0028,5,cans,6.75,33.75
P018,C007901,T036938,I00220,S00215,2,ct,14,28
P035,C001816,T080710,I00069,S00203,4,bottles,17.5,70
P019,C000862,T033422,I00249,S0057,4,pack,16,64
P009,C007406,T066381,I00125,S00338,8,ct,15,120
P012,C006561,T056485,I00075,S00195,3,cans,15.5,46.5
P026,C008661,T045977,I00067,S0023,3,bottles,8,24
P013,C000881,T044604,I00145,S0054,10,ct,17,170
P028,C005058,T067870,I00133,S00397,10,ct,15,150
P009,C005078,T069039,I00153,S00634,4,bags,15,60
P011,C006988,T02631,I00252,S00579,6,ct,11,66
P033,C005421,T01302,I00207,S00286,1,ct,14,14
P035,C009102,T050672,I00048,S00277,4,cans,8,32
P009,C000976,T020286,I00208,S00173,8,ct,14,112
P007,C003434,T086899,I00011,S0037,3,cans,6.75,20.25
P030,C001653,T053668,I00158,S00327,1,,17,17
P020,C006996,T099461,I00026,S00320,7,cans,6.75,47.25
P023,C007063,T090647,I00154,S00230,7,Bags,15,105
P001,C002624,T046497,I00063,S00493,11,cans,40,440
P028,C001874,T075988,I00209,S00585,11,ct,13,143
P009,C002851,T070760,I00077,S00591,10,cans,6.75,67.5
P016,C003260,T092522,I00065,S00476,10,bottles,20,200
P003,C005786,T061288,I00211,S00277,4,ct.,15,60
P010,C002958,T023638,I00243,S00561,4,oz,16,64
P024,C000497,T029875,I00009,S00213,3,cans,16.25,48.75
P039,C007103,T036470,I00026,S00563,3,cans,6.75,20.25
P035,C000856,T050710,I00254,S00674,11,oz,13,143
P008,C003718,T078623,I00146,S00675,2,ct,21,42
P003,C008555,T09145,I00061,S00655,5,cans,55,275
P005,C004485,T088660,I00194,S00332,11,bars,23,253
P005,C008345,T042469,I00006,S00525,6,cans,16.25,97.5
P008,C008999,T044369,I00215,S00281,3,ct.,14,42
P005,C007101,T077876,I00181,S00121,5,ct,26,130
P034,C009113,T090721,I00036,S00250,5,cans,16,80
P007,C007343,T053885,I00217,S00186,4,oz,20.5,82
P001,C005110,T061665,I00148,S00243,8,ct,15,120
P038,C005222,T063291,I00234,S00348,6,ct,13,78
P017,C006733,T044352,I00178,S00458,9,ct,26,234
P001,C007105,T085209,I00018,S00682,7,cans,6.75,47.25
P039,C008009,T012056,I00208,S0023,9,ct,14,126
P012,C006122,T078365,I00162,S0031,8,Bags,16,128
P001,C004477,T084209,I00058,S0090,7,bottles,22,154
P028,C008910,T030742,I00064,S00392,4,cans,40,160
P035,C002244,T077328,I00140,S00432,2,ct,29,58
P023,C004829,T06630,I00215,S00710,3,ct.,14,42
P030,C003519,T071952,I00214,S00595,10,oz,19.5,195
P031,C003486,T088152,I00052,S00104,11,cans,40,440
P007,C002238,T028420,I00181,S00162,7,ct,26,182
P015,C002905,T049666,I00074,S00415,8,bottles,20,160
P008,C000662,T014946,I00185,S00216,9,ct,14,126
P039,C004563,T089441,I00138,S00515,3,ct,32,96
P003,C008136,T048913,I00190,S00331,4,ct,16,64
P001,C005345,T046359,I00117,S00690,1,ct,46,46
P032,C001581,T01327,I00047,S00636,6,cans,8,48
P027,C003430,T048593,I00139,S00560,9,ct,24,216
P037,C003069,T054261,I00131,S00722,11,ct,14,154
P039,C005155,T037158,I00055,S0028,3,cans,40,120
P002,C001500,T089177,I00051,S00312,7,cans,23,161
P013,C008667,T050366,I00002,S00429,10,cans,6.75,67.5
P038,C006351,T070393,I00027,S00419,8,cans,16.25,130
P021,C004102,T03121,I00085,S00218,5,bottles,18,90
P013,C007664,T066869,I00140,S00255,7,ct,29,203
P017,C007293,T072748,I00025,S00722,9,cans,11.5,103.5
P018,C001095,T083957,I00039,S00164,10,bottles,26,260
P019,C004985,T033333,I00086,S00172,5,cans,18,90
P025,C005107,T092118,I00004,S00153,8,cans,6.75,54
P014,C007256,T058485,I00159,S00635,4,bags,17,68
P019,C005770,T050025,I00226,S00674,3,lb,15,45
P003,C005111,T056556,I00023,S00649,6,cans,6.75,40.5
P012,C004900,T077775,I00136,S00324,5,ct,19.5,97.5
P015,C007152,T075701,I00013,S00157,7,cans,6.75,47.25
P005,C001914,T064614,I00122,S00274,10,ct,15,150
P023,C001911,T060777,I00186,S00438,10,ct,13,130
P026,C000851,T039512,I00236,S00183,6,tins,12,72
P025,C004489,T07739,I00163,S00210,1,bags,15,15
P004,C003496,T055084,I00135,S00544,4,ct.,14,56
P016,C001470,T043807,I00233,S00594,11,ct,12,132
P002,C001533,T010488,I00096,S00553,9,bottles,20,180
P033,C000872,T09436,I00143,S00340,7,ct,16,112
P018,C006269,T098613,I00101,S00418,8,tubs,15,120
P013,C008861,T036513,I00158,S00280,9,,17,153
P001,C002250,T024566,I00139,S0054,4,ct,24,96
P035,C003457,T09496,I00226,S00247,8,lb,15,120
P019,C001654,T064062,I00090,S00121,5,bottles,9,45
P022,C000225,T059289,I00053,S00614,2,cans,40,80
